recept,ingrediënten,url
"Aardappelpannetje met spruitjes, ui en gebakken spekjes","['800 gr. aardappels', '600 gr. spruitjes', '2 uien', '250 gr. spekreepjes', '1 teen knoflook', 'peper en zout', 'grof zeezout', 'roomboter', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/aardappelpannetje-met-spruitjes-ui-en-gebakken-spekjes/
"Quiche met broccoli, paddenstoelen, cashewnoten en oude kaas","['1 portie quichedeeg*', '1 broccoli', '200 gr. gemengde paddenstoelen**', 'paar takjes rozemarijn', '4 eieren', '125 gr. crème fraiche', '150 gr. oude kaas, geraspt', '50 gr. cashewnoten', 'peper en zout', 'boter om in te vetten', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/quiche-met-broccoli-paddenstoelen-cashewnoten-en-oude-kaas/
"Aardappelpannetje met spruitjes, ui en gebakken spekjes","['800 gr. aardappels', '600 gr. spruitjes', '2 uien', '250 gr. spekreepjes', '1 teen knoflook', 'peper en zout', 'grof zeezout', 'roomboter', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/aardappelpannetje-met-spruitjes-ui-en-gebakken-spekjes/
"Quiche met broccoli, paddenstoelen, cashewnoten en oude kaas","['1 portie quichedeeg*', '1 broccoli', '200 gr. gemengde paddenstoelen**', 'paar takjes rozemarijn', '4 eieren', '125 gr. crème fraiche', '150 gr. oude kaas, geraspt', '50 gr. cashewnoten', 'peper en zout', 'boter om in te vetten', 'olijfolie']",https://kookidee.nl/recepten/hoofdgerecht/quiche-met-broccoli-paddenstoelen-cashewnoten-en-oude-kaas/
"Pizza met tomatensaus, prosciutto crudo, champignons en mozzarella","['2 pizzabodems*', 'tomatensaus', '100 gr. prosciutto crudo', '125 gr. champignons', '1 bol mozzarella', 'oregano, gedroogd', 'peper en zout', 'olijfolie', 'verse basilicum']",https://kookidee.nl/recepten/hoofdgerecht/pizza-met-tomatensaus-prosciutto-crudo-champignons-en-mozzarella/
"Gehaktbrood met pancetta, gratin dauphinois en snijboontjes","['1 kg. gehakt, half om half', '80 gr. pancetta', '1 ui', '1 teen knoflook', '1 ei', '250 gr. tomatenketchup', '100 gr. donkere basterdsuiker', '2 el. chilisaus', 'ca. 50 ml water', 'peper en zout', '1 kg. aardappels, vastkokend', '400 gr. slagroom', '50 gr. gerapste kaas, jong*', 'peper en zout', 'rozemarijn', 'boter om in te vetten', '800 gr. snijbonen']",https://kookidee.nl/recepten/hoofdgerecht/gehaktbrood-met-pancetta-gratin-dauphinois-en-snijboontjes/
Geroosterde bloemkoolsoep met broccoli en kerrie,"['1 1/2 l. groentebouillon', '1 broccoli', '1 bloemkool', '2 uien', '2 tenen knoflook', '250 ml. slagroom', 'kerrie', 'olijfolie', 'gembersiroop', 'peper en zout']",https://kookidee.nl/recepten/soep/geroosterde-bloemkoolsoep-met-broccoli-en-kerrie/
Appel-kruimelplaatkoek met hazelnoot en kaneel,"['175 gr. bloem', '75 gr. suiker', '8 gr. vanillesuiker', '150 gr. roomboter', 'snufje zout', '3 appels, iets zoet', '100 gr. bloem', '50 gr. hazelnoten', '100 gr. roomboter', '150 gr. suiker', '2 tl. kaneel', 'snufje zout']",https://kookidee.nl/recepten/gebak/appel-kruimelplaatkoek-met-hazelnoot-en-kaneel/
"Pizza met spinazie, knoflook, mozzarella en Parmezaanse kaas","['2 pizzabodems*', 'tomatensaus voor pizza', '200 gr. bladspinazie', '3 tenen knoflook', '1 bol mozzarella', 'Parmezaanse kaas', 'peper en zout']",https://kookidee.nl/recepten/hoofdgerecht/pizza-met-spinazie-knoflook-mozzarella-en-parmezaanse-kaas/
Gegratineerde boerenkool met aardappelschijfjes en rookworst,"['600 gr. aardappels', '400 gr. boerenkool', '1 ui', '2 tenen knoflook', '350 ml. slagroom', '1 ei', 'scheutje melk', '150 gr. belegen kaas, geraspt', '1 rookworst', 'peper en zout', 'boter om te te vetten']",https://kookidee.nl/recepten/hoofdgerecht/gegratineerde-boerenkool-met-aardappelschijfjes-en-rookworst/
