,Titel van het Recept,Ingredienten,Website URLS
0,Kip cashew met bimi,"['300 gr kip', '100 gr cashewnoten', '1  bosui', '½   rode peper', '3 eetlepels sojasaus', '2 eetlepels oestersaus', '1 eetlepel bruine suiker', '1  ui', '2  knoflook', 'Scheutje sesamolie', '1  paprika', '200 gr bimi', 'Rijst om erbij te serveren']",https://www.leukerecepten.nl/recepten/kip-cashew-met-bimi/
1,Biryani met kip,"['300 gr basmatirijst', '60 gr rozijnen', '3  kipfilets', '1  grote ui', '2  tenen knoflook', '2 cm gember', '4  tomaten in blokjes', '200 ml kokosmelk', '50 gr amandelen', '5 gr munt', '1/2 theelepel kaneel', '1 theelepel kurkuma', '3 theelepels garam masala (Indiaas kruidenmengsel)', '1 eetlepel zonnebloemolie', 'zout naar smaak']",https://www.leukerecepten.nl/recepten/biryani-met-kip/
2,Plaattaart met rode biet,"['1  rol vers bladerdeeg of 10 plakjes', '400 gr rode biet (gekookt)', '125 ml mascarpone', '10  zongedroogde tomaten', '2  bollen mozzarella', 'Handje rucola', 'Handje walnoot', 'peper en zout']",https://www.leukerecepten.nl/recepten/plaattaart-met-rode-biet/
3,Wraps met gehakt,"['8  middelgrote tortilla’s', '500 gr gehakt', '1  grote ui', '1  grote courgette', '250 gr champignons (in plakjes)', '2 a 3 eetlepels Mexicaanse kruidenmix (taco of burrito)', 'handje geraspte kaas', '2 eetlepels tomatenpuree', '1  klein blikje mais', '2  lenteuien', 'Lekker voor erbij: geraspte kaas zure room, guacamole en/of tacosaus']",https://www.leukerecepten.nl/recepten/wraps-met-gehakt/
4,Gevulde portobello’s met spinazie,"['4  portobello’s', '125 gr zachte geitenkaas', '300 gr verse spinazie (of uit de vriezer)', 'peper en zout', '2 eetlepels pijnboompitten', '2  tenen knoflook']",https://www.leukerecepten.nl/recepten/gevulde-portobello-s/
5,Hachee basisrecept,"['2  grote uien', '50 gr boter of margarine', '800 gr hacheevlees / riblappen', '3 eetlepels bloem', '500 ml runderbouillon', '2 eetlepels rode wijnazijn', 'snuf paprikapoeder', '2 blaadjes laurier', '4  kruidnagels', '1 theelepel suiker']",https://www.leukerecepten.nl/recepten/traditioneel-basisrecept-hachee/
6,Pasta met spek en peer,"['250 gr ravioli (met kaas of paddestoelen vulling)', '125 gr spekjes', '1  peer', '3 eetlepels creme fraiche', '2 eetlepels walnoten', 'snuf tijm', 'Snuf peper', 'rucola']",https://www.leukerecepten.nl/recepten/pasta-met-spek-en-peer/
7,Linzensoep,"['200 gr wortel', '300 gr gedroogde rode linzen', '400 ml tomatenblokjes', '150 gr bleekselderij', '1  teen knoflook', '1  ui', '1 theelepel komijn', '1 theelepel paprikapoeder', 'snuf kaneel', '1  groente bouillonblokje', '1200  water', 'verse koriander (of peterselie)', '170 gr (plantaardige) yoghurt']",https://www.leukerecepten.nl/recepten/linzensoep/
8,Vegetarische preitaart,"['6  plakjes hartige taart deeg', '400 gr prei', '250 ml creme fraiche', '100 gr geraspte oude kaas', '5  eieren', 'Snuf kerrie', '250 gr champignons', 'peper en zout', 'boter of margarine', '2 eetlepels paneermeel']",https://www.leukerecepten.nl/recepten/vegetarische-preitaart/
9,Romige paddenstoelensoep met rijst,"['125 gr kastanje champignons', '200 gr paddenstoelen', '150 gr zilvervliesrijst', '150 gr wortel', '125 gr kookroom', '250 gr kip in stukjes', '1  knoflook', '1  grote ui', '3 eetlepels bloem', 'Snuf tijm', 'Snuf peper', '700 ml kippenbouillon', 'Bosje verse peterselie', 'Boter of margarine']",https://www.leukerecepten.nl/recepten/romige-paddenstoelensoep-met-rijst/
